Program Version: 5.6
Video Name: cat3_mp4
Labeling Mode: Normal
Frame Rate: 25.0
Zones Covered With Clothes: ['BOX2', 'BOX1', 'BOX6', 'BOX5', 'BOX3', 'BOX4']
Limb Parameter 1: Looking
Limb Parameter 2: LP2
Limb Parameter 3: LP3
Parameter 1: P1
Parameter 2: P2
Parameter 3: P3

Frame,LH_X,LH_Y,LH_Onset,LH_Bodypart,LH_Look,LH_Zones,LL_X,LL_Y,LL_Onset,LL_Bodypart,LL_Look,LL_Zones,RH_X,RH_Y,RH_Onset,RH_Bodypart,RH_Look,RH_Zones,RL_X,RL_Y,RL_Onset,RL_Bodypart,RL_Look,RL_Zones,Parameter_1,Parameter_2,Parameter_3,LH_Parameter_1,LH_Parameter_2,LH_Parameter_3,LL_Parameter_1,LL_Parameter_2,LL_Parameter_3,RH_Parameter_1,RH_Parameter_2,RH_Parameter_3,RL_Parameter_1,RL_Parameter_2,RL_Parameter_3,Note,Time_ms
89,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3560.0
90,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3600.0
91,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3640.0
92,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3680.0
93,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3720.0
94,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3760.0
95,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3800.0
96,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3840.0
97,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3880.0
98,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3920.0
99,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3960.0
100,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4000.0
101,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4040.0
102,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4080.0
103,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4120.0
104,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4160.0
105,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4200.0
106,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4240.0
107,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4280.0
108,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4320.0
109,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4360.0
110,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4400.0
111,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4440.0
112,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4480.0
113,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4520.0
114,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4560.0
115,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4600.0
116,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4640.0
117,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4680.0
118,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4720.0
119,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4760.0
120,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4800.0
121,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4840.0
122,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4880.0
123,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4920.0
124,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,4960.0
125,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5000.0
126,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5040.0
127,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5080.0
128,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5120.0
129,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5160.0
130,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5200.0
131,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5240.0
132,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5280.0
133,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5320.0
134,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5360.0
135,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5400.0
136,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5440.0
137,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5480.0
138,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5520.0
139,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5560.0
140,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5600.0
141,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5640.0
142,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5680.0
143,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5720.0
144,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5760.0
145,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5800.0
146,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5840.0
147,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5880.0
148,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5920.0
149,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,5960.0
150,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6000.0
151,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6040.0
152,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6080.0
153,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6120.0
154,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6160.0
155,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6200.0
156,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6240.0
157,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6280.0
158,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6320.0
159,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6360.0
160,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6400.0
161,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6440.0
162,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6480.0
163,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6520.0
164,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6560.0
165,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6600.0
166,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6640.0
167,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6680.0
168,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6720.0
169,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6760.0
170,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6800.0
171,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6840.0
172,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6880.0
173,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6920.0
174,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,6960.0
175,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7000.0
176,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7040.0
177,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7080.0
178,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7120.0
179,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7160.0
180,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7200.0
181,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7240.0
182,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7280.0
183,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7320.0
184,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7360.0
185,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7400.0
186,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7440.0
187,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7480.0
188,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7520.0
189,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7560.0
190,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7600.0
191,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7640.0
192,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7680.0
193,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7720.0
194,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7760.0
195,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7800.0
196,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7840.0
197,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7880.0
198,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7920.0
199,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,7960.0
200,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8000.0
201,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8039.999999999999
202,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8080.0
203,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8119.999999999999
204,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8160.0
205,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8200.0
206,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8240.0
207,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8280.0
208,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8320.0
209,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8360.0
210,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8400.0
211,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8440.0
212,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8480.0
213,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8520.0
214,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8560.0
215,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8600.0
216,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8640.0
217,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8680.0
218,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8720.0
219,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8760.0
220,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8800.0
221,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8840.0
222,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8880.0
223,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8920.0
224,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,8960.0
225,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9000.0
226,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9040.0
227,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9080.0
228,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9120.0
229,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9160.0
230,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9200.0
231,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9240.0
232,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9280.0
233,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9320.0
234,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9360.0
235,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9400.0
236,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9440.0
237,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9480.0
238,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9520.0
239,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9560.0
240,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9600.0
241,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9640.0
242,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9680.0
243,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9720.0
244,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9760.0
245,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9800.0
246,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9840.0
247,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9880.0
248,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9920.0
249,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,9960.0
250,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,10000.0
251,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,10040.0
252,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,10080.0
