Program Version: 6.1
Video Name: cat3_mp4
Labeling Mode: Normal
Frame Rate: 25.0
Zones Covered With Clothes: None ; Param Labels: Parameter_1="P1", Parameter_2="P2", Parameter_3="P3" ; Limb Param Labels: XX_Parameter_1="Looking", XX_Parameter_2="LP2", XX_Parameter_3="LP34"

Frame,LH_X,LH_Y,LH_Onset,LH_Bodypart,LH_Look,LH_Zones,LL_X,LL_Y,LL_Onset,LL_Bodypart,LL_Look,LL_Zones,RH_X,RH_Y,RH_Onset,RH_Bodypart,RH_Look,RH_Zones,RL_X,RL_Y,RL_Onset,RL_Bodypart,RL_Look,RL_Zones,Parameter_1,Parameter_2,Parameter_3,LH_Parameter_1,LH_Parameter_2,LH_Parameter_3,LL_Parameter_1,LL_Parameter_2,LL_Parameter_3,RH_Parameter_1,RH_Parameter_2,RH_Parameter_3,RL_Parameter_1,RL_Parameter_2,RL_Parameter_3,Note,Time_ms
53,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2120.0
54,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2160.0
55,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2200.0
56,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2240.0
57,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2280.0
58,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2320.0
59,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2360.0
60,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2400.0
61,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2440.0
62,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2480.0
63,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2520.0
64,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2560.0
65,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2600.0
66,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2640.0
67,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2680.0
68,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,ON,,,,,,2720.0
69,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2760.0
70,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2800.0
71,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2840.0
72,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2880.0
73,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2920.0
74,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2960.0
75,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3000.0
76,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3040.0
77,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3080.0
78,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3120.0
79,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3160.0
80,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3200.0
81,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3240.0
82,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3280.0
83,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3320.0
84,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3360.0
85,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3400.0
86,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3440.0
87,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3480.0
88,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3520.0
89,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3560.0
90,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3600.0
91,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3640.0
92,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3680.0
93,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3720.0
94,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3760.0
95,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3800.0
96,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3840.0
97,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3880.0
98,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3920.0
99,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,3960.0
100,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4000.0
101,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4040.0
102,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4080.0
103,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4120.0
104,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4160.0
105,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4200.0
106,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4240.0
107,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4280.0
108,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4320.0
109,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4360.0
110,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4400.0
111,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4440.0
112,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4480.0
113,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4520.0
114,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4560.0
115,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4600.0
116,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4640.0
117,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4680.0
118,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4720.0
119,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4760.0
120,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4800.0
121,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4840.0
122,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4880.0
123,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4920.0
124,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,4960.0
125,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5000.0
126,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5040.0
127,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5080.0
128,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5120.0
129,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5160.0
130,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5200.0
131,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5240.0
132,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5280.0
133,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5320.0
134,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5360.0
135,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5400.0
136,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5440.0
137,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5480.0
138,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5520.0
139,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5560.0
140,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5600.0
141,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5640.0
142,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5680.0
143,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5720.0
144,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5760.0
145,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5800.0
146,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5840.0
147,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5880.0
148,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5920.0
149,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,5960.0
150,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6000.0
151,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6040.0
152,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6080.0
153,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6120.0
154,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6160.0
155,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6200.0
156,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6240.0
157,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6280.0
158,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6320.0
159,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6360.0
160,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6400.0
161,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6440.0
162,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6480.0
163,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6520.0
164,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6560.0
165,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6600.0
166,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6640.0
167,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6680.0
168,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6720.0
169,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6760.0
170,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6800.0
171,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6840.0
172,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6880.0
173,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6920.0
174,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,6960.0
175,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7000.0
176,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7040.0
177,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7080.0
178,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7120.0
179,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7160.0
180,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7200.0
181,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7240.0
182,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7280.0
183,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7320.0
184,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7360.0
185,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7400.0
186,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7440.0
187,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7480.0
188,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7520.0
189,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7560.0
190,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7600.0
191,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7640.0
192,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7680.0
193,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7720.0
194,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7760.0
195,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7800.0
196,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7840.0
197,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7880.0
198,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7920.0
199,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,7960.0
200,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8000.0
201,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8039.999999999999
202,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8080.0
203,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8119.999999999999
204,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8160.0
205,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8200.0
206,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8240.0
207,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8280.0
208,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8320.0
209,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8360.0
210,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8400.0
211,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8440.0
212,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8480.0
213,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8520.0
214,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8560.0
215,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8600.0
216,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8640.0
217,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8680.0
218,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8720.0
219,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,8760.0
